scena,tempo,livello,sottolivello
0,0,1,4
0,17,1,4
1,2,4,3
1,9,4,3
1,11,3,6
1,16,3,6
2,0,1,4
2,1,1,4
2,5,3,6
2,6,3,6
2,8,4,5
2,10,4,5
2,16,1,4
2,19,1,4
3,0,1,4
3,1,1,4
3,4,3,2
3,12,3,2
3,16,4,3
3,19,4,3
4,0,4,3
4,15,4,3
5,3,1,2
5,5,1,2
5,9,3,7
5,10,3,7
5,11,4,1
5,12,3,7
5,14,3,7
6,1,0,6
6,6,3,8
6,10,3,8
6,12,0,4
6,15,4,1
7,2,4,1
7,3,3,9
7,6,3,9
7,9,1,3
7,19,1,3
8,3,3,4
8,4,3,4
8,6,4,1
8,9,4,1
8,13,0,2
8,14,0,2
8,18,3,4
8,19,3,4
9,0,3,4
9,17,3,4
10,1,2,1
10,7,2,1
10,19,2,1
11,0,2,1
11,9,2,1
11,10,3,2
