scena,tempo,livello,sottolivello
0,0,0,1
0,2,0,2
0,4,0,3
0,6,0,4
0,8,0,5
0,10,0,6
0,19,0,6
1,0,1,1
1,1,1,1
1,2,1,2
1,4,1,3
1,6,1,4
1,8,1,5
1,19,1,5
2,0,2,1
2,2,2,2
2,4,2,3
2,6,2,4
2,19,2,4
3,0,3,1
3,2,3,2
3,4,3,3
3,6,3,4
3,8,3,5
3,10,3,6
3,12,3,7
3,14,3,8
3,16,3,9
3,19,3,9
4,0,4,1
4,2,4,2
4,4,4,3
4,6,4,4
4,8,4,5
4,19,4,5
5,0,4,5
5,19,4,5
6,0,4,5
6,19,4,5
7,0,4,5
7,19,4,5
8,0,4,5
8,19,4,5
9,0,4,5
9,15,4,5
9,19,4,5
10,0,4,5
10,19,4,5
11,0,4,5
11,19,4,5
